name transform change_limit value lower_bound upper_bound group scale offset dercom
per_f00191 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00192 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00193 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00194 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00195 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00196 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00197 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00198 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00199 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00200 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00201 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00202 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00203 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00204 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00205 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00206 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00207 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00208 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00209 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00210 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00211 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00212 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00213 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00214 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00215 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00216 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00217 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00218 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00219 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00220 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00221 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
