name transform change_limit value lower_bound upper_bound group scale offset dercom
emm_m00090 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00091 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00092 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00093 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00094 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00095 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00096 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00097 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00098 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00099 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00100 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00101 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00102 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00103 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00104 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00105 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00106 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00107 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00108 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00109 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00110 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00111 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00112 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00113 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00114 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00115 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00116 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00117 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00118 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00119 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00120 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00121 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00122 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00123 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
emm_m00124 fixed factor 1.0e-08 1.0e-11 1.0e-06 emm_m 1.0 0.0 1
