name value weight group
f_piez_FP007t63572400.0 417.96342 20 f_piez_FP007
f_piez_FP007t63576000.0 417.94875 20 f_piez_FP007
f_piez_FP007t63579600.0 417.93767 20 f_piez_FP007
f_piez_FP007t63583200.0 417.9215 20 f_piez_FP007
f_piez_FP007t63586800.0 417.91192 20 f_piez_FP007
f_piez_FP007t63590400.0 417.90567 20 f_piez_FP007
f_piez_FP007t63594000.0 417.88925 20 f_piez_FP007
f_piez_FP007t63597600.0 417.87992 20 f_piez_FP007
f_piez_FP007t63601200.0 417.865 20 f_piez_FP007
f_piez_FP007t63604800.0 417.84858 20 f_piez_FP007
f_piez_FP007t63608400.0 417.83492 20 f_piez_FP007
f_piez_FP007t63612000.0 417.82083 20 f_piez_FP007
f_piez_FP007t63615600.0 417.80467 20 f_piez_FP007
f_piez_FP007t63619200.0 417.79083 20 f_piez_FP007
f_piez_FP007t63622800.0 417.77975 20 f_piez_FP007
f_piez_FP007t63626400.0 417.76308 20 f_piez_FP007
f_piez_FP007t63630000.0 417.741 20 f_piez_FP007
f_piez_FP007t63633600.0 417.73058 20 f_piez_FP007
f_piez_FP007t63637200.0 417.71992 20 f_piez_FP007
f_piez_FP007t63640800.0 417.70067 20 f_piez_FP007
f_piez_FP007t63644400.0 417.69158 20 f_piez_FP007
f_piez_FP007t63648000.0 417.6805 20 f_piez_FP007
f_piez_FP007t63651600.0 417.66842 20 f_piez_FP007
f_piez_FP007t63655200.0 417.65675 20 f_piez_FP007
f_piez_FP007t63658800.0 417.64417 20 f_piez_FP007
f_piez_FP007t63662400.0 417.6325 20 f_piez_FP007
f_piez_FP007t63666000.0 417.62317 20 f_piez_FP007
f_piez_FP007t63669600.0 417.61233 20 f_piez_FP007
f_piez_FP007t63673200.0 417.6035 20 f_piez_FP007
f_piez_FP007t63676800.0 417.59542 20 f_piez_FP007
f_piez_FP007t63680400.0 417.5855 20 f_piez_FP007
f_piez_FP007t63684000.0 417.57492 20 f_piez_FP007
f_piez_FP007t63687600.0 417.56558 20 f_piez_FP007
f_piez_FP007t63691200.0 417.55775 20 f_piez_FP007
f_piez_FP007t63694800.0 417.54475 20 f_piez_FP007
f_piez_FP007t63698400.0 417.53542 20 f_piez_FP007
f_piez_FP007t63702000.0 417.52608 20 f_piez_FP007
f_piez_FP007t63705600.0 417.514 20 f_piez_FP007
f_piez_FP007t63709200.0 417.50642 20 f_piez_FP007
f_piez_FP007t63712800.0 417.49275 20 f_piez_FP007
