       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 hkr11c03        3.7378793E-08   5.5499970E-06   4.1839119E-06   3.8851356E-05   2.2223636E-06   5.0845007E-05   7.1305685E-03
 hkr11c08        1.0123784E-07   1.6542131E-05   7.9039620E-05   8.1789862E-06   5.5168533E-04   6.5554731E-04   2.5603658E-02
 hkr11c09        1.8581117E-07   2.6849992E-05   1.2543009E-04   5.4270523E-06   6.8807196E-04   8.4596491E-04   2.9085476E-02
 hkr11c10        3.4538859E-07   3.7110573E-05   1.4655934E-04   1.1804101E-08   4.0361766E-04   5.8764477E-04   2.4241385E-02
 hkr11c11        5.5007963E-07   4.2944677E-05   1.6212058E-04   1.0082333E-04   1.3193293E-04   4.3837160E-04   2.0937326E-02
 hkr11c12        3.0485832E-07   1.4571949E-05   3.8294178E-05   2.2951046E-04   1.9009600E-03   2.1836415E-03   4.6729450E-02
 hkr11c13        2.8474423E-07   1.8617443E-05   6.3138660E-05   9.6652498E-05   3.9580808E-04   5.7450143E-04   2.3968759E-02
 hkr11c14        7.3584779E-08   5.8804891E-06   1.8971508E-05   3.8485971E-05   2.8893873E-04   3.5235029E-04   1.8770996E-02
 hkr11c15        2.4267376E-09   8.7217683E-08   8.5158351E-08   1.4637090E-07   7.8247187E-07   1.1036455E-06   1.0505454E-03
 hkr11c16        1.1979031E-09   4.2934785E-08   4.2480903E-08   7.2137237E-08   3.9052679E-07   5.4927762E-07   7.4113266E-04
 hkr11c17        3.4915449E-10   1.3064843E-08   1.0412682E-08   2.1561082E-08   9.4910182E-08   1.4029794E-07   3.7456367E-04
 hkr11c18        7.2184523E-12   4.7531453E-11   1.7551236E-09   2.2765360E-10   1.0287598E-08   1.2325125E-08   1.1101858E-04
 hkr11c19        3.0060310E-10   9.0275840E-09   1.6282851E-08   1.6663953E-08   1.3037932E-07   1.7265431E-07   4.1551692E-04
 hkr12c00        1.7171448E-10   2.1117899E-06   4.0129131E-07   1.1789140E-05   2.2843333E-06   1.6586726E-05   4.0726805E-03
 hkr12c01        3.0367817E-09   3.0886520E-06   2.8625985E-07   2.1927879E-05   3.0644156E-06   2.8370243E-05   5.3263724E-03
 hkr12c02        3.0367817E-09   3.0886520E-06   2.8625985E-07   2.1927879E-05   3.0644156E-06   2.8370243E-05   5.3263724E-03
 hkr12c03        3.0367817E-09   3.0886520E-06   2.8625985E-07   2.1927879E-05   3.0644156E-06   2.8370243E-05   5.3263724E-03
