obsnme obsval
hds_00_016_014_000 35.730923
hds_00_016_015_000 35.419765
hds_00_016_016_000 35.5475
hds_00_016_017_000 35.64696
hds_00_016_018_000 35.71432
hds_00_016_019_000 35.74835
hds_00_017_000_000 43.636127
hds_00_017_001_000 43.6229
hds_00_017_002_000 43.606384
hds_00_017_003_000 43.60955
hds_00_017_008_000 36.97076
hds_00_017_009_000 36.886055
hds_00_017_010_000 36.741688
hds_00_017_011_000 36.54783
hds_00_017_012_000 36.30458
hds_00_017_013_000 36.02578
hds_00_017_014_000 35.7265
hds_00_017_015_000 35.42103
hds_00_017_016_000 35.558117
hds_00_017_017_000 35.6663
hds_00_017_018_000 35.740112
hds_00_017_019_000 35.777046
hds_00_018_000_000 43.35932
hds_00_018_001_000 43.342556
hds_00_018_002_000 43.3214
hds_00_018_003_000 43.319687
hds_00_018_008_000 37.051216
hds_00_018_009_000 36.95553
hds_00_018_010_000 36.79403
hds_00_018_011_000 36.580402
hds_00_018_012_000 36.313488
hds_00_018_013_000 36.005135
hds_00_018_014_000 35.68403
hds_00_018_015_000 35.405186
hds_00_018_016_000 35.556293
hds_00_018_017_000 35.676006
hds_00_018_018_000 35.757126
hds_00_018_019_000 35.798347
hds_00_019_000_000 43.028057
hds_00_019_001_000 43.007282
hds_00_019_002_000 42.98448
hds_00_019_003_000 42.964542
hds_00_019_008_000 37.17598
hds_00_019_009_000 37.056404
hds_00_019_010_000 36.86809
hds_00_019_011_000 36.62457
hds_00_019_012_000 36.318905
hds_00_019_013_000 35.952957
hds_00_019_014_000 35.55437
hds_00_019_015_000 35.36303
hds_00_019_016_000 35.544098
hds_00_019_017_000 35.68047
hds_00_019_018_000 35.77092
hds_00_019_019_000 35.81569
hds_00_020_000_000 42.661427
hds_00_020_001_000 42.629093
hds_00_020_002_000 42.582756
hds_00_020_003_000 42.540398
hds_00_020_008_000 37.367928
hds_00_020_009_000 37.19591
hds_00_020_010_000 36.966614
hds_00_020_011_000 36.686676
hds_00_020_012_000 36.340046
hds_00_020_013_000 35.88552
hds_00_020_014_000 35.172714
hds_00_020_015_000 35.29859
hds_00_020_016_000 35.536354
hds_00_020_017_000 35.688732
hds_00_020_018_000 35.78537
hds_00_020_019_000 35.832047
hds_00_021_000_000 42.258896
hds_00_021_001_000 42.205593
hds_00_021_002_000 42.12226
hds_00_021_003_000 42.037106
hds_00_021_006_000 38.311806
hds_00_021_007_000 38.073986
hds_00_021_008_000 37.66972
hds_00_021_009_000 37.370556
hds_00_021_010_000 37.081512
hds_00_021_011_000 36.77688
hds_00_021_012_000 36.426395
hds_00_021_013_000 36.026432
hds_00_021_014_000 35.6034
hds_00_021_015_000 35.388283
hds_00_021_016_000 35.573517
hds_00_021_017_000 35.711624
hds_00_021_018_000 35.80347
hds_00_021_019_000 35.849407
hds_00_022_000_000 41.845467
hds_00_022_001_000 41.77018
hds_00_022_002_000 41.63866
hds_00_022_003_000 41.39648
hds_00_022_004_000 40.932503
hds_00_022_006_000 38.48115
hds_00_022_007_000 38.214176
hds_00_022_008_000 37.84945
hds_00_022_009_000 37.513245
hds_00_022_010_000 37.18822
hds_00_022_011_000 36.866962
hds_00_022_012_000 36.52066
hds_00_022_013_000 36.1513
hds_00_022_014_000 35.778954
hds_00_022_015_000 35.45495
hds_00_022_016_000 35.61385
hds_00_022_017_000 35.73854
hds_00_022_018_000 35.823837
hds_00_022_019_000 35.867676
hds_00_023_000_000 41.45842
hds_00_023_001_000 41.362637
hds_00_023_002_000 41.19338
hds_00_023_003_000 40.899128
hds_00_023_004_000 40.38783
hds_00_023_005_000 39.58325
hds_00_023_006_000 38.851513
hds_00_023_007_000 38.395664
hds_00_023_008_000 37.99429
hds_00_023_009_000 37.6173
hds_00_023_010_000 37.270557
hds_00_023_011_000 36.938786
hds_00_023_012_000 36.593662
hds_00_023_013_000 36.234264
hds_00_023_014_000 35.866596
hds_00_023_015_000 35.495064
hds_00_023_016_000 35.645348
hds_00_023_017_000 35.76215
hds_00_023_018_000 35.843292
hds_00_023_019_000 35.88528
hds_00_024_000_000 41.0888
hds_00_024_001_000 40.99045
hds_00_024_002_000 40.813606
hds_00_024_003_000 40.49675
hds_00_024_004_000 40.023914
hds_00_024_005_000 39.46979
hds_00_024_006_000 38.943123
hds_00_024_007_000 38.483223
hds_00_024_008_000 38.062214
hds_00_024_009_000 37.670277
hds_00_024_010_000 37.3147
