,percent_reduce,post,prior
hkr10c16,0.0009284859596388214,79633.29506751025,79634.03445833929
hkr31c09,0.0009215226722029513,79631.49935295226,79632.23318203542
hkr10c14,0.0009287154409904675,79633.29167181592,79634.03124536038
hkr10c15,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr10c12,0.0009281269312278132,79633.2869194277,79634.02602426965
hkr10c13,0.0009288217141438163,79633.29439851678,79634.03405671695
hkr10c10,0.0009270334926609092,79633.2855143379,79634.0237484096
hkr10c11,0.000924954128999987,79633.26789252368,79634.00447053612
hkr31c00,0.0009287130428303957,79633.26489915006,79634.0044705361
hkr31c01,0.0009301832990085337,79632.87402438368,79633.6147629686
hkr31c02,0.0009326723706240582,79632.15876757955,79632.90148164959
hkr31c03,0.0009340443041768628,79631.29821123723,79632.04200978992
hkr31c04,0.000932900759103114,79632.03207584261,79632.7749706048
hkr31c05,0.000932261540159873,79632.36994451133,79633.11233339085
hkr31c06,0.0009309101947688051,79633.07907426661,79633.82039361914
hkr10c19,0.0009284859596388214,79633.29506751025,79634.03445833929
hkr05c12,0.0009256215785799853,79633.27485788823,79634.01196748689
hkr27c09,0.0009193141334230147,79630.16867477969,79630.9007329047
hkr27c08,0.0009195581738764907,79631.4065369384,79632.13880077978
hkr10c18,0.0009284859830339501,79633.29305939843,79634.03245022746
hkr27c03,0.0009330029863151908,79633.14581673453,79633.88880329518
hkr27c02,0.0009352862757352505,79632.86996069884,79633.61476296859
hkr27c01,0.000934326943216978,79632.88558453867,79633.6296229961
hkr27c00,0.000931152525381343,79633.03390000353,79633.77541191434
hkr27c07,0.0009213678694291701,79632.46536911177,79633.19908382153
hkr27c06,0.0009242839985922597,79633.08435095976,79633.82039361913
hkr27c05,0.0009291927209818308,79633.29129173863,79634.03124536038
hkr27c04,0.0009321464921526024,79633.21517557825,79633.95748071947
hkr22c08,0.0009235788926443515,79631.70856533178,79632.44403377657
hkr22c09,0.0009259645584669984,79632.35260222254,79633.08997641254
hkr07c14,0.0009280689221145619,79633.28897371587,79634.02803238147
hkr07c15,0.0009284859830887704,79633.2930593984,79634.03245022747
hkr07c12,0.0009267018118476514,79633.28042355343,79634.01839344473
hkr07c13,0.0009268843445663424,79633.27719911902,79634.01531433992
hkr07c10,0.0009239831927632045,79633.26009785447,79633.99590259233
hkr07c11,0.0009258076955998316,79633.2747096758,79634.0119674869
hkr22c00,0.0009388784252674428,79633.07272886024,79633.82039361913
hkr22c01,0.0009472571516590269,79632.98452799265,79633.73886427918
hkr22c02,0.0009607078887797641,79632.90754961429,79633.67259658905
hkr22c03,0.0009613594768279108,79633.07571050218,79633.84127798206
hkr22c04,0.0009237984101924167,79633.27630975036,79634.01196748689
hkr07c18,0.0009284859596388214,79633.29506751025,79634.03445833929
hkr07c19,0.0009284859830522237,79633.29305939842,79634.03245022746
hkr39c14,0.0009286528928969543,79618.98017545346,79619.71956628253
hkr15c02,0.0009355786355303724,79633.2187344515,79633.96377280318
