name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR02C46,2.30103,0.5,1.30103,3.30103,2.30103,0.499874,1.30128,3.30078
KR02C47,2.30103,0.5,1.30103,3.30103,2.30103,0.499846,1.30134,3.30072
KR02C48,2.30103,0.5,1.30103,3.30103,2.30103,0.499865,1.3013,3.30076
KR02C49,2.30103,0.5,1.30103,3.30103,2.30103,0.499854,1.30132,3.30074
KR02C50,2.30103,0.5,1.30103,3.30103,2.30103,0.499887,1.30126,3.3008
KR02C51,2.30103,0.5,1.30103,3.30103,2.30103,0.499854,1.30132,3.30074
KR02C52,2.30103,0.5,1.30103,3.30103,2.30103,0.4998,1.30143,3.30063
KR02C53,2.30103,0.5,1.30103,3.30103,2.30103,0.499777,1.30148,3.30058
KR02C54,2.30103,0.5,1.30103,3.30103,2.30103,0.499665,1.3017,3.30036
KR02C55,2.30103,0.5,1.30103,3.30103,2.30103,0.499556,1.30192,3.30014
KR02C56,2.30103,0.5,1.30103,3.30103,2.30103,0.499143,1.30274,3.29932
KR02C57,2.30103,0.5,1.30103,3.30103,2.30103,0.498669,1.30369,3.29837
KR02C58,2.30103,0.5,1.30103,3.30103,2.30103,0.498162,1.30471,3.29735
KR02C59,2.30103,0.5,1.30103,3.30103,2.30103,0.497342,1.30635,3.29571
KR02C60,2.30103,0.5,1.30103,3.30103,2.30103,0.498265,1.3045,3.29756
KR03C01,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C02,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C04,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C05,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C06,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C07,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C08,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
