       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 kr08c17         1.2390252E-19   3.2356431E-14   5.6794350E-12   8.2679749E-11   1.4062219E-10   2.2901373E-10   1.5133200E-05
 kr08c18         1.2390252E-19   3.2356431E-14   5.6794350E-12   8.2679749E-11   1.4062219E-10   2.2901373E-10   1.5133200E-05
 kr08c19         2.5899725E-14   9.8636646E-12   1.6591814E-11   8.2919446E-11   1.3590862E-10   2.4530945E-10   1.5662358E-05
 kr08c20         5.9537252E-12   1.4393567E-09   2.9094468E-09   3.0910171E-08   2.7569250E-09   3.8021854E-08   1.9499193E-04
 kr08c21         2.5313572E-12   4.2795781E-10   3.6204281E-10   2.2825202E-09   2.1945175E-09   5.2695697E-09   7.2591802E-05
 kr08c22         3.0961522E-12   5.8325940E-10   1.6697830E-09   2.8916045E-09   6.8226233E-09   1.1970366E-08   1.0940917E-04
 kr08c23         1.5520404E-11   3.7408909E-09   3.8482000E-09   1.1190362E-08   6.6901693E-09   2.5485142E-08   1.5964067E-04
 kr08c24         1.5008355E-11   3.8869939E-09   5.8906495E-09   4.8597716E-08   1.8065688E-08   7.6456056E-08   2.7650688E-04
 kr08c25         2.3831541E-11   6.9515048E-09   1.5835257E-08   1.3962995E-07   4.1721338E-08   2.0416188E-07   4.5184276E-04
 kr08c26         8.6025258E-11   2.4933830E-08   2.4632345E-08   2.7660221E-07   3.7309090E-08   3.6356350E-07   6.0296227E-04
 kr08c27         1.9294258E-10   2.6468159E-08   5.9529307E-08   5.2892988E-07   3.1333432E-08   6.4645372E-07   8.0402346E-04
 kr08c28         2.3966138E-10   3.4586083E-08   8.2586533E-08   7.1768021E-07   7.2606010E-08   9.0769850E-07   9.5273212E-04
 kr08c29         4.5335287E-10   7.9786255E-08   1.3976482E-07   1.4618829E-06   1.6896508E-07   1.8508524E-06   1.3604604E-03
 kr08c30         6.6199349E-10   1.2828982E-07   2.3079674E-07   2.4535736E-06   3.4058826E-07   3.1539104E-06   1.7759252E-03
 kr08c31         1.0635852E-09   2.1907861E-07   2.8469121E-07   3.4814177E-06   5.3541797E-07   4.5216691E-06   2.1264217E-03
 kr08c32         1.3213863E-09   2.6269158E-07   2.6626158E-07   3.6853179E-06   8.8169055E-07   5.0972830E-06   2.2577163E-03
 kr08c33         5.9404536E-10   3.7459711E-08   8.3742804E-09   2.3500307E-07   4.1273835E-07   6.9416945E-07   8.3316832E-04
 kr08c34         2.8011791E-09   1.7360691E-06   3.1351500E-06   3.2338659E-05   3.8617601E-07   3.7598855E-05   6.1317905E-03
 kr08c35         9.6240240E-08   3.5894161E-05   5.6802920E-05   6.2022926E-04   2.5985742E-05   7.3900833E-04   2.7184708E-02
 kr08c36         5.0680916E-07   1.8086052E-04   2.7486018E-04   3.0369935E-03   1.5048489E-04   3.6437059E-03   6.0363117E-02
 kr08c37         9.3315754E-07   3.3311815E-04   5.0342781E-04   5.5351210E-03   2.7988665E-04   6.6524867E-03   8.1562778E-02
 kr08c38         1.1133125E-06   4.0316322E-04   5.9171705E-04   6.4245226E-03   3.0871370E-04   7.7292299E-03   8.7916039E-02
 kr08c39         1.2711150E-06   4.6645951E-04   6.0851846E-04   6.3598690E-03   2.5137064E-04   7.6874888E-03   8.7678326E-02
 kr08c40         1.7366009E-06   6.2638686E-04   5.6784403E-04   5.3931371E-03   9.8113836E-05   6.6872184E-03   8.1775414E-02
 kr08c41         2.6331166E-06   9.2952750E-04   5.0981766E-04   4.0566988E-03   2.7258785E-07   5.4989496E-03   7.4154903E-02
 kr08c42         3.2220107E-06   1.1529286E-03   4.6792157E-04   3.1578849E-03   2.8382157E-05   4.8103392E-03   6.9356609E-02
 kr08c43         3.3498334E-06   1.2692463E-03   4.4190063E-04   2.6756210E-03   4.3748464E-05   4.4338662E-03   6.6587283E-02
 kr08c44         3.3738341E-06   1.3681039E-03   3.4826918E-04   1.8573742E-03   4.4465613E-05   3.6215868E-03   6.0179621E-02
 kr08c45         3.6936644E-06   1.5632413E-03   1.0867866E-04   3.5567453E-04   6.1842531E-05   2.0931307E-03   4.5750746E-02
 kr08c46         4.3008193E-06   1.8869912E-03   6.0213356E-06   3.1176256E-04   1.0119657E-04   2.3102725E-03   4.8065294E-02
 kr08c47         4.3890168E-06   2.1441932E-03   1.1932320E-04   1.7620590E-03   9.3515261E-05   4.1234796E-03   6.4214326E-02
 kr08c48         3.9583641E-06   2.3627102E-03   1.4346080E-04   2.8201416E-03   9.7601364E-06   5.3400311E-03   7.3075516E-02
 kr08c49         3.4378101E-06   2.5730995E-03   1.0393806E-04   4.1243521E-03   9.2867079E-05   6.8976945E-03   8.3052360E-02
 kr08c50         3.1678681E-06   2.7065250E-03   9.6998780E-05   7.0272076E-03   8.0217100E-04   1.0636070E-02   0.1031313    
 kr08c51         3.4700254E-06   2.5693633E-03   8.8256494E-05   1.2047615E-02   2.3270836E-03   1.7035788E-02   0.1305212    
 kr08c52         5.0529639E-06   1.6142742E-03   9.8685573E-06   1.5540613E-02   2.7688763E-03   1.9938685E-02   0.1412044    
 kr08c53         1.3248406E-05   6.3745100E-05   1.5388091E-03   1.5305527E-02   6.5423901E-04   1.7575568E-02   0.1325729    
 kr08c54         4.7266848E-05   3.9180921E-03   8.7659661E-03   9.4953266E-03   3.7955768E-04   2.2606209E-02   0.1503536    
 kr08c55         1.0758855E-04   1.9956634E-02   1.8219013E-02   2.6373382E-03   1.2729933E-03   4.2193567E-02   0.2054107    
 kr08c56         8.4902843E-05   1.7521006E-02   2.1700647E-02   3.1396972E-03   2.2479437E-03   4.4694196E-02   0.2114100    
 kr08c57         1.9052721E-05   2.8865484E-03   1.0371814E-02   5.1895715E-03   4.7032351E-05   1.8514019E-02   0.1360662    
 kr08c58         8.9205928E-07   5.6052561E-05   4.1805772E-03   3.5692164E-03   3.5769040E-03   1.1383642E-02   0.1066942    
 kr08c59         6.7625180E-10   9.5550725E-05   4.8542523E-03   1.4284702E-03   3.3420666E-03   9.7203405E-03   9.8591787E-02
 kr08c60         2.7172268E-08   3.4328157E-04   3.7789280E-03   2.6041232E-04   8.8428890E-04   5.2669379E-03   7.2573672E-02
 kr09c01          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c02          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c03          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c04          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c05          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c06          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c07          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c08          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c09          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c10          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c11          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c12          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr09c13         5.2294929E-32   9.3294446E-30   9.1192631E-29   1.4193587E-28   5.8779961E-27   6.1205063E-27   7.8233665E-14
 kr09c14         5.2294929E-32   9.3294446E-30   9.1192631E-29   1.4193587E-28   5.8779961E-27   6.1205063E-27   7.8233665E-14
