name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HKR02C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499993,-0.225651,1.77432
HKR03C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499986,-0.225636,1.77431
HKR03C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499963,-0.22559,1.77426
HKR03C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499846,-0.225356,1.77403
HKR03C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499624,-0.224913,1.77358
HKR03C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.499436,-0.224537,1.77321
HKR03C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.498965,-0.223594,1.77226
HKR03C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.498696,-0.223058,1.77173
HKR03C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.498072,-0.221808,1.77048
HKR03C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.496136,-0.217937,1.76661
HKR03C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.460941,-0.147546,1.69622
HKR03C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.493835,-0.213334,1.762
HKR03C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.428691,-0.0830472,1.63172
HKR03C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.479705,-0.185074,1.73374
HKR03C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.487563,-0.200791,1.74946
HKR03C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.492928,-0.21152,1.76019
HKR03C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.455015,-0.135694,1.68437
HKR03C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.48839,-0.202444,1.75111
HKR03C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.498384,-0.222432,1.7711
HKR03C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499993,-0.225651,1.77432
HKR03C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499892,-0.225449,1.77412
HKR04C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499963,-0.22559,1.77426
HKR04C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499904,-0.225473,1.77414
HKR04C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499699,-0.225063,1.77373
HKR04C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499328,-0.224322,1.77299
HKR04C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.498949,-0.223562,1.77223
HKR04C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.498138,-0.221941,1.77061
HKR04C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.497269,-0.220202,1.76887
HKR04C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.493725,-0.213114,1.76178
HKR04C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.455048,-0.135761,1.68443
HKR04C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.488017,-0.201698,1.75037
HKR04C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.433854,-0.0933726,1.64204
HKR04C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.48637,-0.198405,1.74708
HKR04C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.489612,-0.204889,1.75356
HKR04C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.491176,-0.208017,1.75669
HKR04C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.495729,-0.217122,1.76579
HKR04C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.481811,-0.189287,1.73796
HKR04C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.454886,-0.135437,1.68411
HKR04C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.495025,-0.215715,1.76439
HKR04C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499084,-0.223833,1.7725
HKR04C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499425,-0.224514,1.77319
HKR05C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499947,-0.225559,1.77423
HKR05C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499834,-0.225332,1.774
HKR05C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499395,-0.224455,1.77313
HKR05C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.498659,-0.222982,1.77165
HKR05C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.498005,-0.221675,1.77035
HKR05C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.497644,-0.220953,1.76962
HKR05C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.497366,-0.220397,1.76907
HKR05C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.496837,-0.219338,1.76801
HKR05C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.49734,-0.220345,1.76902
HKR05C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.483009,-0.191683,1.74035
HKR05C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.483971,-0.193607,1.74228
HKR05C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.493162,-0.211988,1.76066
HKR05C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.494341,-0.214346,1.76302
HKR05C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.494682,-0.215028,1.7637
HKR05C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.498305,-0.222274,1.77095
HKR05C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.492411,-0.210487,1.75916
HKR05C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.486873,-0.19941,1.74808
HKR05C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.494538,-0.214741,1.76341
HKR05C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.498064,-0.221793,1.77046
HKR05C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499062,-0.223788,1.77246
HKR06C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499854,-0.225372,1.77404
HKR06C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499588,-0.22484,1.77351
HKR06C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.498415,-0.222496,1.77117
HKR06C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.495901,-0.217468,1.76614
HKR06C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.4957,-0.217065,1.76574
