name,x,y,z,mean_kh,sd_kh,major,transverse,normal,anisotropy,bearing,dip,layer
195_9,1685657.162753461,5401028.485253247,9.999999975,0.15808250000000001,0.1,5000,166.6666667,5,30,60,0.01,4
191_0,1661039.7913943238,5404574.996529059,0.5,114.36919999999999,0.5,3000,300,5,9.999999999,73,1,1
191_1,1663026.8738541454,5405873.427713274,0.5,390.4605,0.5,3000,300,5,9.999999999,77,1,1
191_2,1667111.0342453101,5406773.343128277,0.5,95.25689,0.5,3000,300,5,9.999999999,112,1,1
191_3,1667787.5448437317,5408267.365,0.5,134.8384,0.5,3000,300,5,9.999999999,98,1,1
191_4,1671014.0383076358,5408645.178015744,0.5,226.3837,0.5,3000,300,5,9.999999999,70,1,1
191_5,1673228.311688973,5410198.837355241,0.5,35.82223,0.5,3000,300,5,9.999999999,32,1,1
191_6,1675796.787026748,5411086.813649398,0.5,53.612159999999996,0.5,3000,300,5,9.999999999,58,1,1
191_7,1661039.7913943238,5404574.996529059,2,174.5993,0.5,3000,300,5,9.999999999,73,1,2
191_8,1663026.8738541454,5405873.427713274,2,46.51547,0.5,3000,300,5,9.999999999,77,1,2
191_9,1667111.0342453101,5406773.343128277,2,23.67574,0.5,3000,300,5,9.999999999,112,1,2
191_10,1667787.5448437317,5408267.365,2,199.8033,0.5,3000,300,5,9.999999999,98,1,2
191_11,1671014.0383076358,5408645.178015744,2,484.1291,0.5,3000,300,5,9.999999999,70,1,2
191_12,1673228.311688973,5410198.837355241,2,104.348,0.5,3000,300,5,9.999999999,32,1,2
191_13,1675796.787026748,5411086.813649398,2,21.919140000000002,0.5,3000,300,5,9.999999999,58,1,2
191_14,1661039.7913943238,5404574.996529059,5,2389.376,0.5,3000,300,5,9.999999999,73,1,3
191_15,1663026.8738541454,5405873.427713274,5,334.8646,0.5,3000,300,5,9.999999999,77,1,3
191_16,1667111.0342453101,5406773.343128277,5,173.5543,0.5,3000,300,5,9.999999999,112,1,3
191_17,1667787.5448437317,5408267.365,5,55.544380000000004,0.5,3000,300,5,9.999999999,98,1,3
191_18,1671014.0383076358,5408645.178015744,5,85.3874,0.5,3000,300,5,9.999999999,70,1,3
191_19,1673228.311688973,5410198.837355241,5,78.62943,0.5,3000,300,5,9.999999999,32,1,3
191_20,1675796.787026748,5411086.813649398,5,97.5461,0.5,3000,300,5,9.999999999,58,1,3
191_21,1661039.7913943238,5404574.996529059,10,88.6229,0.5,3000,300,5,9.999999999,73,1,4
191_22,1663026.8738541454,5405873.427713274,10,104.7531,0.5,3000,300,5,9.999999999,77,1,4
191_23,1667111.0342453101,5406773.343128277,10,312.6922,0.5,3000,300,5,9.999999999,112,1,4
191_24,1671014.0383076358,5408645.178015744,10,240.19789999999998,0.5,3000,300,5,9.999999999,70,1,4
191_25,1675796.787026748,5411086.813649398,10,384.0094,0.5,3000,300,5,9.999999999,58,1,4
201_0,1678983.756485376,5412265.873680885,0.5,49.77573,0.5,3000,300,5,9.999999999,80,1,1
