name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_098,1927975,5612253,-10,1641.27,681.54,800,8,50,1,12.7,316.23,3.16,5,1,300
manual_099,1924105,5610963,-10,246.55,71.66,1320,10.9,31.2,1,29.6,172.05,4.25,5,1,300
manual_100,1922749,5611294,-10,351.76,241.34,500,5,52,1,13.3,209.76,2.1,5,0.897,300
manual_101,1921658,5611162,-10,736.39,155,980,5.16,21.5,1,27.6,519.23,3.94,5,1,300
manual_102,1920600,5610930,-10,344.06,243.9,800,6.4,38.1,1,17.3,126.49,2.33,5,1,300
manual_103,1920004,5610434,-10,770.66,281.23,1060,7.07,38.7,1,69.4,135.65,4.13,5,1,300
manual_104,1918946,5609144,-10,601.8,268.25,960,3.83,84.1,1,16.3,205.91,1.07,5,1,300
manual_105,1918185,5608747,-10,359.24,175.8,1000,9.2,74,1,10.2,282.84,3.71,5,0.966,300
manual_106,1917226,5608450,-10,419.5,96.87,1080,4.45,74.8,1,29.4,97.98,1.03,5,0.793,300
manual_107,1916432,5607689,-10,80.04,101.92,680,5.7,127.9,1,90,116.62,2.44,5,1,300
manual_108,1913754,5605539,-10,286.47,129.84,1080,7.8,61.9,1,20.6,160,3.53,5,1,300
manual_109,1926420,5618934,-10,52.62,62.31,880,7.2,73.5,1,28.3,324.96,4.08,5,0.828,300
manual_110,1937996,5609177,-10,56.37,58.96,760,7.6,45,1,59.9,585.15,5.85,5,1,300
manual_111,1937434,5608483,-10,42.06,55.1,1180,7.67,66.9,1,37.4,183.3,5.17,5,1,300
manual_112,1936971,5607557,-10,205.76,76.58,1200,4.83,32,1,7.5,167.33,0.74,5,1,300
manual_113,1936375,5606598,-10,234.61,90.71,980,7.9,27.6,1,28.3,74.83,2.65,5,1,300
manual_114,1936078,5605771,-10,92.88,109.67,1120,7.9,40.1,1,11,318.75,3.85,5,1,300
manual_115,1936243,5604812,-10,32.47,42.45,1220,7.13,148.8,1,47.4,193.91,3.95,5,1,300
manual_116,1936574,5603621,-10,100.26,127.27,600,5.7,20.1,1,29.9,363.32,3.92,5,0.862,300
manual_117,1935449,5615891,-10,177.84,55.13,1440,5.7,168,1,4,80,0.87,5,1,300
manual_118,1934490,5615693,-10,265.86,99.69,1500,1.75,54,1,8,0.1,0.1,5,1,300
manual_119,1933167,5615263,-10,429.08,29.35,1320,3.31,101.5,1,41.9,132.66,0.96,5,1,300
manual_120,1931944,5614734,-10,677.96,85.01,1460,6.93,41.3,1,34.3,48.99,4.23,5,1,300
manual_121,1930951,5614668,-10,981.67,164.62,1280,2.67,54,1,4.9,132.66,0.2,5,1,300
manual_122,1930158,5615131,-10,164.41,185.45,960,5.5,76,1,8,287.05,1.48,5,1,300
manual_123,1929298,5614833,-10,64.77,70.55,760,2.83,57.8,1,18.4,135.65,0.92,5,0.931,300
manual_124,1928372,5614634,-10,129.85,245.48,420,4.2,6.4,1,56.4,248.19,2.48,5,1,300
manual_125,1927512,5615064,-10,12.47,11.65,1120,7.9,46.2,1,61.6,396.99,5.04,5,1,300
manual_126,1926983,5615759,-10,5.84,3.24,1020,5.37,29.3,1,37.8,97.98,2.38,5,1,300
manual_127,1926685,5616553,-10,27.22,27.34,860,8.6,76.6,1,71.7,431.74,4.32,5,1,300
manual_128,1926718,5617578,-10,29.55,20.23,1360,5.8,16,1,55.9,174.36,0.93,5,1,300
manual_129,1927016,5618339,-10,44.33,25.21,1040,7.5,49,1,27.7,224.5,4.56,5,0.966,300
manual_130,1927479,5619298,-10,7.57,24.71,760,5.6,13.3,1,31.8,215.41,3.12,5,0.862,300
manual_131,1927677,5620422,-10,0.97,0.79,1180,6.27,14,1,10.2,160,2.76,5,0.931,300
manual_132,1934523,5610170,-10,838.06,215.67,1460,5.85,86,1,8,48.99,4.13,5,1,300
manual_133,1933763,5609971,-10,1243.9,226.27,1240,10.33,38,1,13.3,372.02,5.19,5,1,300
manual_134,1932076,5609409,-10,694.84,121.02,1240,4.48,48.7,1,49.4,149.67,1.3,5,1,300
manual_135,1931183,5608781,-10,842.78,233.44,1480,5.7,57.5,1,23.2,40,1.57,5,1,300
manual_136,1930191,5608648,-10,1077.59,111.06,1420,3.22,89.3,1,37.8,97.98,0.61,5,1,300
manual_137,1929364,5608814,-10,1085.2,381.72,1240,9.7,109.8,1,50.6,257.68,3.31,5,0.966,300
manual_138,1937831,5610269,-10,160.12,56.95,1360,4.07,90.9,1,67.9,149.67,0.66,5,1,300
manual_139,1937235,5609806,-10,260.16,71.31,1440,11.5,123.6,1,18.5,48.99,3.49,5,1,300
manual_140,1936508,5609310,-10,141.43,135.11,1420,7.75,88.4,1,21.4,40,3.37,5,1,300
manual_141,1935979,5608747,-10,272.8,59.55,1480,4.78,48.6,1,48.8,40,1.53,5,1,300
manual_142,1935383,5608185,-10,252.12,42.69,1480,4.41,2,1,4,40,1.73,5,1,300
